giorno,migranti_sbarcati,data_riferimento,filename
9,0,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
29,56,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
30,116,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
31,0,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
11,13,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
13,159,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
18,137,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
16,377,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
17,53,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
19,117,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
20,55,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
8,0,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
15,0,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
27,22,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
28,0,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
26,18,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
7,22,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
21,118,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
2,43,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
22,67,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
3,0,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
23,0,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
1,89,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
24,48,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
5,0,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
25,0,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
6,23,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
4,0,2019-10-31,cruscotto_statistico_giornaliero_31-10-2019.pdf
12,0,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
14,0,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
1,1,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
15,0,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
16,0,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
19,0,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
18,0,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
22,78,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
20,12,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
21,159,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
11,0,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
17,0,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
30,0,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
7,0,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
9,0,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
6,0,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
25,0,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
5,50,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
29,53,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
4,0,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
24,224,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
3,239,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
26,141,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
27,0,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
8,0,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
28,19,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
23,149,2019-11-30,cruscotto_statistico_giornaliero_30-11-2019.pdf
3,0,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
2,64,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
22,55,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
23,159,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
12,0,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
24,0,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
29,32,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
10,0,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
30,0,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
31,0,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
8,0,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
14,0,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
15,0,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
16,0,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
18,124,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
19,4,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
20,0,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
27,0,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
7,7,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
26,0,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
6,8,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
25,0,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
5,0,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
4,121,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
21,0,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
28,0,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
1,0,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
9,0,2019-12-31,cruscotto_statistico_giornaliero_31-12-2019.pdf
1,0,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
19,0,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
18,0,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
17,56,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
15,68,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
14,969,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
12,0,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
31,2,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
30,0,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
10,105,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
29,403,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
9,0,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
28,0,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
20,0,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
27,0,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
8,30,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
21,39,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
2,68,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
22,0,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
3,0,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
23,0,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
24,0,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
5,33,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
25,96,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
6,152,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
26,0,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
4,0,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
7,0,2020-01-31,cruscotto_statistico_giornaliero_31_gennaio_2020.pdf
26,0,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
6,0,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
25,18,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
5,0,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
4,0,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
7,0,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
23,276,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
3,394,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
22,0,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
2,394,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
24,0,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
27,194,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
9,0,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
28,0,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
29,0,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
10,0,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
11,26,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
13,158,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
14,75,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
15,4,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
16,27,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
18,0,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
19,0,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
20,0,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
8,0,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
12,0,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
1,15,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
21,0,2020-02-29,cruscotto_statistico_giornaliero_29-02-2020.pdf
21,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
2,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
22,12,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
3,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
23,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
4,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
24,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
5,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
25,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
6,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
26,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
7,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
27,44,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
1,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
19,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
9,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
29,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
10,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
30,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
11,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
31,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
12,57,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
13,85,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
14,43,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
15,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
16,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
17,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
18,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
28,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
8,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
20,0,2020-03-31,cruscotto_statistico_giornaliero_31_marzo_2020.pdf
9,6,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
18,38,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
17,0,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
16,1,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
15,10,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
14,0,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
13,77,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
12,101,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
11,0,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
10,73,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
29,0,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
19,0,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
28,100,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
8,57,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
20,0,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
7,86,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
6,34,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
25,56,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
5,0,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
24,0,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
4,0,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
23,32,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
3,0,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
1,0,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
27,0,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
21,0,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
2,0,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
22,0,2020-04-30,cruscotto_statistico_giornaliero_30-04-2020.pdf
9,79,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
10,0,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
29,0,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
28,186,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
30,0,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
2,78,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
20,137,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
31,95,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
12,0,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
13,53,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
21,1,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
15,0,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
16,68,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
17,0,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
18,0,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
19,0,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
8,0,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
11,0,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
27,0,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
14,78,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
26,71,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
22,7,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
3,44,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
23,97,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
7,0,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
5,10,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
6,192,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
25,40,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
1,0,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
4,316,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
24,178,2020-05-31,cruscotto_statistico_giornaliero_31_maggio_2020.pdf
1,42,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
29,82,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
10,0,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
30,1,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
11,49,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
12,5,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
16,0,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
14,600,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
9,0,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
18,90,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
19,55,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
13,59,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
28,115,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
20,132,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
27,37,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
8,0,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
21,211,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
2,137,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
22,0,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
3,60,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
23,0,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
4,103,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
24,169,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
17,59,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
25,223,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
6,0,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
26,1,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
7,11,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
5,0,2020-06-30,cruscotto_statistico_giornaliero_30-06-2020.pdf
10,698,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
30,284,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
11,360,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
31,92,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
12,198,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
14,337,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
15,112,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
16,0,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
17,9,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
18,0,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
19,0,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
20,83,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
13,351,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
29,337,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
28,519,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
8,0,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
27,402,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
7,6,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
26,117,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
25,279,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
5,54,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
24,416,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
4,0,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
23,336,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
3,0,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
22,697,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
21,385,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
2,112,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
9,138,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
6,180,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
1,252,2020-07-31,cruscotto_statistico_giornaliero_31-07-2020.pdf
30,516,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
20,341,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
19,220,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
18,235,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
17,404,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
16,447,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
15,70,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
14,35,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
13,109,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
31,0,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
29,228,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
9,0,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
28,661,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
8,0,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
27,220,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
12,146,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
26,65,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
7,0,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
3,336,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
22,0,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
2,85,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
1,305,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
23,50,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
21,295,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
24,0,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
5,0,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
25,0,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
6,0,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
4,90,2020-08-31,cruscotto_statistico_giornaliero_31-08-2020.pdf
30,43,2020-09-30,cruscotto_statistico_giornaliero_30-09-2020.pdf
14,74,2020-09-30,cruscotto_statistico_giornaliero_30-09-2020.pdf
11,43,2020-09-30,cruscotto_statistico_giornaliero_30-09-2020.pdf
12,201,2020-09-30,cruscotto_statistico_giornaliero_30-09-2020.pdf
13,146,2020-09-30,cruscotto_statistico_giornaliero_30-09-2020.pdf
15,34,2020-09-30,cruscotto_statistico_giornaliero_30-09-2020.pdf
6,15,2020-09-30,cruscotto_statistico_giornaliero_30-09-2020.pdf
17,51,2020-09-30,cruscotto_statistico_giornaliero_30-09-2020.pdf
18,346,2020-09-30,cruscotto_statistico_giornaliero_30-09-2020.pdf
19,269,2020-09-30,cruscotto_statistico_giornaliero_30-09-2020.pdf
20,667,2020-09-30,cruscotto_statistico_giornaliero_30-09-2020.pdf
10,205,2020-09-30,cruscotto_statistico_giornaliero_30-09-2020.pdf
16,122,2020-09-30,cruscotto_statistico_giornaliero_30-09-2020.pdf
29,95,2020-09-30,cruscotto_statistico_giornaliero_30-09-2020.pdf
26,0,2020-09-30,cruscotto_statistico_giornaliero_30-09-2020.pdf
28,65,2020-09-30,cruscotto_statistico_giornaliero_30-09-2020.pdf
